Country,Year,Rice,Rank
Myanmar,2004,38175,6
Philippines,2004,35130,8
SriLanka,2004,36516,7
Thailand,2004,28559,12
VietNam,2004,48553,4
China,2005,62527,3
India,2005,31537,11
Indonesia,2005,45739,5
Japan,2005,66483,1
Korea,2005,65682,2
Lao,2005,34890,9
Malaysia,2005,34221,10
Myanmar,2005,37491,6
Philippines,2005,35876,7
SriLanka,2005,35465,8
Thailand,2005,29625,12
VietNam,2005,48891,4
China,2006,62763,3
India,2006,31759,11
Indonesia,2006,46201,5
Japan,2006,63359,2
Korea,2006,67114,1
Lao,2006,35855,9
Malaysia,2006,33907,10
Myanmar,2006,38301,6
Philippines,2006,36844,7
SriLanka,2006,36705,8
Thailand,2006,29160,12
VietNam,2006,48943,4
China,2007,64223,2
India,2007,32924,11
Indonesia,2007,47052,5
Japan,2007,65111,1
Korea,2007,63541,3
Lao,2007,37233,9
Malaysia,2007,35277,10
Myanmar,2007,39260,6
Philippines,2007,38008,8
SriLanka,2007,38337,7
Thailand,2007,30087,12
VietNam,2007,49869,4
China,2008,65535,3
India,2008,34169,11
Indonesia,2008,48948,5
Japan,2008,67786,2
Korea,2008,73942,1
Lao,2008,37772,7
Malaysia,2008,35836,10
Myanmar,2008,40323,6
Philippines,2008,37703,8
SriLanka,2008,36800,9
Thailand,2008,29626,12
VietNam,2008,52336,4
China,2009,65820,2
India,2009,31947,11
Indonesia,2009,49985,5
Japan,2009,65209,3
Korea,2009,75967,1
Lao,2009,38419,7
Malaysia,2009,36591,9
Myanmar,2009,40853,6
Philippines,2009,35890,10
SriLanka,2009,37374,8
Thailand,2009,28826,12
VietNam,2009,52372,4
China,2010,65482,1
India,2010,32644,11
Indonesia,2010,50144,5
Japan,2010,65111,2
Korea,2010,65062,3
Lao,2010,34552,10
Malaysia,2010,37818,8
Myanmar,2010,41239,6
Philippines,2010,36222,9
SriLanka,2010,40558,7
Thailand,2010,28751,12
VietNam,2010,53221,4
