939,Temple
940,Subway
941,Coffee Shop
942,Government Building
943,Hotel Bar
944,Building
945,Sushi Restaurant
946,Mall
947,Mall
948,Residential Building (Apartment / Condo)
949,Food Court
950,College Theater
951,Airport Gate
952,Hospital
953,Home (private)
954,Building
955,Salon / Barbershop
956,cafe
957,Gym
958,Doctor's Office
959,Fried Chicken Joint
960,High School
961,Temple
962,Fast Food Restaurant
963,Office
964,Office
965,College Academic Building
966,Post Office
967,Grocery Store
968,High School
969,Dim Sum Restaurant
970,Office
971,Subway
972,Building
973,Bank
974,Gym
975,Hotel
976,Building
977,Office
978,Home (private)
979,College Arts Building
980,-1
981,Mall
982,Concert Hall
983,Hospital
984,Hospital
985,Diner
986,Food Court
987,Airport Gate
988,Chinese Restaurant
989,Fast Food Restaurant
990,Subway
991,Office
992,Office
993,Chinese Restaurant
994,College Classroom
995,School
996,Japanese Restaurant
997,Train Station
998,Mall
999,Food Court
1000,Asian Restaurant
1001,Home (private)
1002,Mall
1003,Hockey Arena
1004,Office
1005,Bus Line
1006,Ice Cream Shop
1007,Bus Station
1008,cafe
1009,Residential Building (Apartment / Condo)
1010,Home (private)
1011,School
1012,Resort
1013,College Classroom
1014,Grocery Store
1015,College Classroom
1016,cafe
1017,Gym
1018,Mall
1019,Seafood Restaurant
1020,Mobile Phone Shop
1021,Grocery Store
1022,Mall
1023,High School
1024,Train Station
1025,Dentist's Office
1026,Chinese Restaurant
1027,High School
1028,Fried Chicken Joint
1029,Asian Restaurant
1030,Arcade
1031,Basketball Court
1032,Nightclub
1033,Medical Center
1034,Bowling Alley
1035,Military Base
1036,Gym
1037,Food Court
1038,Asian Restaurant
1039,cafe
1040,Food Court
1041,Building
1042,College Cafeteria
1043,Bus Line
1044,Coffee Shop
1045,Financial or Legal Service
1046,Music Store
1047,cafe
1048,Asian Restaurant
1049,Park
1050,Vietnamese Restaurant
1051,Bus Line
1052,Toy / Game Store
1053,-1
1054,Residential Building (Apartment / Condo)
1055,cafe
1056,Harbor / Marina
1057,Food Court
1058,Multiplex
1059,cafe
1060,Salon / Barbershop
1061,Ice Cream Shop
1062,-1
1063,American Restaurant
1064,Residential Building (Apartment / Condo)
1065,Home (private)
1066,Government Building
1067,Burger Joint
1068,College Cafeteria
1069,River
1070,College Academic Building
1071,Office
1072,College Academic Building
1073,Gym
1074,Home (private)
1075,Soup Place
1076,Mall
1077,Food Court
1078,Bus Station
1079,Mall
1080,Coffee Shop
1081,Coffee Shop
1082,Mall
1083,Gym
1084,Subway
1085,Coworking Space
1086,High School
1087,Tea Room
1088,Pub
1089,Fast Food Restaurant
1090,Food Court
1091,University
1092,Bike Shop
1093,Fast Food Restaurant
1094,Fried Chicken Joint
1095,Indian Restaurant
1096,Residential Building (Apartment / Condo)
1097,Building
1098,cafe
1099,Home (private)
1100,Seafood Restaurant
1101,Korean Restaurant
1102,Skating Rink
1103,Dessert Shop
1104,Hotel
1105,Department Store
1106,Coffee Shop
1107,Hotel
1108,Bus Station
1109,Residential Building (Apartment / Condo)
1110,Trail
1111,Home (private)
1112,Mall
1113,Malaysian Restaurant
1114,Korean Restaurant
1115,Military Base
1116,Cosmetics Shop
1117,Home (private)
1118,High School
1119,Gym
1120,cafe
1121,Food Court
1122,Performing Arts Venue
1123,Korean Restaurant
1124,Coffee Shop
1125,Swiss Restaurant
1126,Asian Restaurant
1127,Road
1128,Korean Restaurant
1129,Tech Startup
1130,Thai Restaurant
1131,Neighborhood
1132,Seafood Restaurant
1133,Building
1134,Boat or Ferry
1135,Hospital
1136,Coffee Shop
1137,Light Rail
1138,Home (private)
1139,Home (private)
1140,College Stadium
1141,Gym
1142,Assisted Living
1143,Japanese Restaurant
1144,Track
1145,Basketball Court
1146,Sushi Restaurant
1147,Medical Center
1148,School
1149,Ramen / Noodle House
1150,Lounge
1151,Asian Restaurant
1152,Neighborhood
1153,Vietnamese Restaurant
1154,Chinese Restaurant
1155,School
1156,Salon / Barbershop
1157,cafe
1158,Japanese Restaurant
1159,Residential Building (Apartment / Condo)
1160,Chinese Restaurant
1161,College Arts Building
1162,Indonesian Restaurant
1163,Hostel
1164,Boutique
1165,Mall
1166,Home (private)
1167,Bookstore
1168,College Quad
1169,Food Court
1170,Residential Building (Apartment / Condo)
1171,Multiplex
1172,Basketball Court
1173,Chinese Restaurant
1174,Subway
1175,Asian Restaurant
1176,Residential Building (Apartment / Condo)
1177,Thai Restaurant
1178,Japanese Restaurant
1179,Hospital
1180,Burger Joint
1181,Residential Building (Apartment / Condo)
1182,Train Station
1183,Road
1184,Mall
1185,Office
1186,Japanese Restaurant
1187,Eastern European Restaurant
1188,Bar
1189,Gastropub
1190,Mosque
1191,Subway
1192,Home (private)
1193,Restaurant
1194,Multiplex
1195,BBQ Joint
1196,Coffee Shop
1197,Seafood Restaurant
1198,Bus Line
1199,Food Court
1200,Seafood Restaurant
1201,Assisted Living
1202,Seafood Restaurant
1203,Home (private)
1204,Tapas Restaurant
1205,Mall
1206,Temple
1207,Bakery
1208,Steakhouse
1209,Home (private)
1210,Bakery
1211,Building
1212,Military Base
1213,Museum
1214,cafe
1215,French Restaurant
1216,Temple
1217,University
1218,Park
1219,Restaurant
1220,Doctor's Office
1221,Residential Building (Apartment / Condo)
1222,Home (private)
1223,Gym / Fitness Center
1224,Bus Station
1225,Residential Building (Apartment / Condo)
1226,American Restaurant
1227,Home (private)
1228,Park
1229,American Restaurant
1230,Steakhouse
1231,French Restaurant
1232,Restaurant
1233,Office
1234,Asian Restaurant
1235,Chinese Restaurant
1236,Chinese Restaurant
1237,Bar
1238,School
1239,Vietnamese Restaurant
1240,Office
1241,Housing Development
1242,Drugstore / Pharmacy
1243,Arcade
1244,Korean Restaurant
1245,Hotel
1246,Stadium
1247,Chinese Restaurant
1248,Home (private)
1249,Chinese Restaurant
1250,Park
1251,Mall
1252,Campground
1253,Mall
1254,Monument / Landmark
1255,Airport Food Court
1256,Bookstore
1257,Bridge
1258,Ramen / Noodle House
1259,Mall
1260,Korean Restaurant
1261,Grocery Store
1262,Casino
1263,Other Great Outdoors
1264,Discount Stores
1265,River
1266,Fast Food Restaurant
1267,Japanese Restaurant
1268,Sandwich Place
1269,Home (private)
1270,Residential Building (Apartment / Condo)
1271,Chinese Restaurant
1272,Boutique
1273,Arts & Crafts Store
1274,Music Venue
1275,Food Court
1276,Diner
1277,Vietnamese Restaurant
1278,Women's Store
1279,Japanese Restaurant
1280,Bus Station
1281,Indian Restaurant
1282,Fast Food Restaurant
1283,Home (private)
1284,Food Court
1285,Seafood Restaurant
1286,Miscellaneous Shop
1287,Bowling Alley
1288,Korean Restaurant
1289,Seafood Restaurant
1290,Building
1291,Government Building
1292,-1
1293,Music Venue
1294,Park
1295,Grocery Store
1296,Subway
1297,General Entertainment
1298,Cafeteria
1299,Casino
1300,Neighborhood
1301,Airport Food Court
