923,Smoke Shop,6
924,Dentist's Office,3
925,Mall,6
926,Bus Line,7
927,Residential Building (Apartment / Condo),8
928,Sushi Restaurant,2
929,Military Base,3
930,Pool Hall,0
931,Food Court,6
932,Residential Building (Apartment / Condo),8
933,Office,3
934,Mall,6
935,Department Store,6
936,Subway,7
937,School,3
938,Temple,3
939,Temple,3
940,Subway,7
941,Coffee Shop,2
942,Government Building,3
943,Hotel Bar,4
944,Building,8
945,Sushi Restaurant,2
946,Mall,6
947,Mall,6
948,Residential Building (Apartment / Condo),8
949,Food Court,6
950,College Theater,1
951,Airport Gate,7
952,Hospital,3
953,Home (private),8
954,Building,8
955,Salon / Barbershop,6
956,cafe,2
957,Gym,6
958,Doctor's Office,3
959,Fried Chicken Joint,2
960,High School,3
961,Temple,3
962,Fast Food Restaurant,2
963,Office,3
964,Office,3
965,College Academic Building,1
966,Post Office,3
967,Grocery Store,6
968,High School,3
969,Dim Sum Restaurant,2
970,Office,3
971,Subway,7
972,Building,8
973,Bank,6
974,Gym,6
975,Hotel,7
976,Building,8
977,Office,3
978,Home (private),8
979,College Arts Building,1
980,-1,-1
981,Mall,6
982,Concert Hall,0
983,Hospital,3
984,Hospital,3
985,Diner,2
986,Food Court,6
987,Airport Gate,7
988,Chinese Restaurant,2
989,Fast Food Restaurant,2
990,Subway,7
991,Office,3
992,Office,3
993,Chinese Restaurant,2
994,College Classroom,1
995,School,3
996,Japanese Restaurant,2
997,Train Station,7
998,Mall,6
999,Food Court,6
1000,Asian Restaurant,2
1001,Home (private),8
1002,Mall,6
1003,Hockey Arena,0
1004,Office,3
1005,Bus Line,7
1006,Ice Cream Shop,2
1007,Bus Station,7
1008,cafe,2
1009,Residential Building (Apartment / Condo),8
1010,Home (private),8
1011,School,3
1012,Resort,7
1013,College Classroom,1
1014,Grocery Store,6
1015,College Classroom,1
1016,cafe,2
1017,Gym,6
1018,Mall,6
1019,Seafood Restaurant,2
1020,Mobile Phone Shop,6
1021,Grocery Store,6
1022,Mall,6
1023,High School,3
1024,Train Station,7
1025,Dentist's Office,3
1026,Chinese Restaurant,2
1027,High School,3
1028,Fried Chicken Joint,2
1029,Asian Restaurant,2
1030,Arcade,2
1031,Basketball Court,5
1032,Nightclub,4
1033,Medical Center,3
1034,Bowling Alley,0
1035,Military Base,3
1036,Gym,6
1037,Food Court,6
1038,Asian Restaurant,2
1039,cafe,2
1040,Food Court,6
1041,Building,8
1042,College Cafeteria,1
1043,Bus Line,7
1044,Coffee Shop,2
1045,Financial or Legal Service,6
1046,Music Store,6
1047,cafe,2
1048,Asian Restaurant,2
1049,Park,5
1050,Vietnamese Restaurant,2
1051,Bus Line,7
1052,Toy / Game Store,6
1053,-1,-1
1054,Residential Building (Apartment / Condo),8
1055,cafe,2
1056,Harbor / Marina,5
1057,Food Court,6
1058,Multiplex,0
1059,cafe,2
1060,Salon / Barbershop,6
1061,Ice Cream Shop,2
1062,-1,-1
1063,American Restaurant,2
1064,Residential Building (Apartment / Condo),8
1065,Home (private),8
1066,Government Building,3
1067,Burger Joint,2
1068,College Cafeteria,1
1069,River,5
1070,College Academic Building,1
1071,Office,3
1072,College Academic Building,1
1073,Gym,6
1074,Home (private),8
1075,Soup Place,2
1076,Mall,6
1077,Food Court,6
1078,Bus Station,7
1079,Mall,6
1080,Coffee Shop,2
1081,Coffee Shop,2
1082,Mall,6
1083,Gym,6
1084,Subway,7
1085,Coworking Space,3
1086,High School,3
1087,Tea Room,2
1088,Pub,4
1089,Fast Food Restaurant,2
1090,Food Court,6
1091,University,1
1092,Bike Shop,6
1093,Fast Food Restaurant,2
1094,Fried Chicken Joint,2
1095,Indian Restaurant,2
1096,Residential Building (Apartment / Condo),8
1097,Building,8
1098,cafe,2
1099,Home (private),8
1100,Seafood Restaurant,2
1101,Korean Restaurant,2
1102,Skating Rink,5
1103,Dessert Shop,2
1104,Hotel,7
1105,Department Store,6
1106,Coffee Shop,2
1107,Hotel,7
1108,Bus Station,7
1109,Residential Building (Apartment / Condo),8
1110,Trail,5
1111,Home (private),8
1112,Mall,6
1113,Malaysian Restaurant,2
1114,Korean Restaurant,2
1115,Military Base,3
1116,Cosmetics Shop,6
1117,Home (private),8
1118,High School,3
1119,Gym,6
1120,cafe,2
1121,Food Court,6
1122,Performing Arts Venue,0
1123,Korean Restaurant,2
1124,Coffee Shop,2
1125,Swiss Restaurant,2
1126,Asian Restaurant,2
1127,Road,7
1128,Korean Restaurant,2
1129,Tech Startup,3
1130,Thai Restaurant,2
1131,Neighborhood,5
1132,Seafood Restaurant,2
1133,Building,8
1134,Boat or Ferry,7
1135,Hospital,3
1136,Coffee Shop,2
1137,Light Rail,7
1138,Home (private),8
1139,Home (private),8
1140,College Stadium,1
1141,Gym,6
1142,Assisted Living,8
1143,Japanese Restaurant,2
1144,Track,6
1145,Basketball Court,5
1146,Sushi Restaurant,2
1147,Medical Center,3
1148,School,3
1149,Ramen / Noodle House,2
1150,Lounge,4
1151,Asian Restaurant,2
1152,Neighborhood,5
1153,Vietnamese Restaurant,2
1154,Chinese Restaurant,2
1155,School,3
1156,Salon / Barbershop,6
1157,cafe,2
1158,Japanese Restaurant,2
1159,Residential Building (Apartment / Condo),8
1160,Chinese Restaurant,2
1161,College Arts Building,1
1162,Indonesian Restaurant,2
1163,Hostel,7
1164,Boutique,6
1165,Mall,6
1166,Home (private),8
1167,Bookstore,6
1168,College Quad,1
1169,Food Court,6
1170,Residential Building (Apartment / Condo),8
1171,Multiplex,0
1172,Basketball Court,5
1173,Chinese Restaurant,2
1174,Subway,7
1175,Asian Restaurant,2
1176,Residential Building (Apartment / Condo),8
1177,Thai Restaurant,2
1178,Japanese Restaurant,2
1179,Hospital,3
1180,Burger Joint,2
1181,Residential Building (Apartment / Condo),8
1182,Train Station,7
1183,Road,7
1184,Mall,6
1185,Office,3
1186,Japanese Restaurant,2
1187,Eastern European Restaurant,2
1188,Bar,4
1189,Gastropub,2
1190,Mosque,3
1191,Subway,7
1192,Home (private),8
1193,Restaurant,2
1194,Multiplex,0
1195,BBQ Joint,2
1196,Coffee Shop,2
1197,Seafood Restaurant,2
1198,Bus Line,7
1199,Food Court,6
1200,Seafood Restaurant,2
1201,Assisted Living,8
1202,Seafood Restaurant,2
1203,Home (private),8
1204,Tapas Restaurant,2
1205,Mall,6
1206,Temple,3
1207,Bakery,2
1208,Steakhouse,2
1209,Home (private),8
1210,Bakery,2
1211,Building,8
1212,Military Base,3
1213,Museum,0
1214,cafe,2
1215,French Restaurant,2
1216,Temple,3
1217,University,1
1218,Park,5
1219,Restaurant,2
1220,Doctor's Office,3
1221,Residential Building (Apartment / Condo),8
1222,Home (private),8
1223,Gym / Fitness Center,6
1224,Bus Station,7
1225,Residential Building (Apartment / Condo),8
1226,American Restaurant,2
1227,Home (private),8
1228,Park,5
1229,American Restaurant,2
1230,Steakhouse,2
1231,French Restaurant,2
1232,Restaurant,2
1233,Office,3
1234,Asian Restaurant,2
1235,Chinese Restaurant,2
1236,Chinese Restaurant,2
1237,Bar,4
1238,School,3
1239,Vietnamese Restaurant,2
1240,Office,3
1241,Housing Development,8
1242,Drugstore / Pharmacy,6
1243,Arcade,0
1244,Korean Restaurant,2
1245,Hotel,7
1246,Stadium,0
1247,Chinese Restaurant,2
