X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
208, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.835631, 
218, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.929962, 
228, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.916445, 
18, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.841048, 
28, 108, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0.915194, 
38, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.855825, 
48, 108, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.949104, 
58, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.871525, 
68, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.84306, 
78, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.931072, 
88, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.945238, 
98, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.915051, 
108, 108, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.958291, 
118, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.92947, 
128, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.867877, 
138, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.806363, 
148, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.850543, 
158, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.914014, 
168, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.862919, 
178, 108, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.981681, 
188, 108, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.995991, 
198, 108, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.83272, 
208, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.872943, 
218, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.922735, 
228, 108, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.930421, 
18, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.970199, 
28, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.913454, 
38, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.949329, 
48, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.909379, 
58, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.911716, 
68, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.841044, 
78, 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.778334, 
88, 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.819102, 
98, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.956786, 
108, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.877254, 
118, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.876825, 
128, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.974518, 
138, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.928739, 
148, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.941458, 
158, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.917233, 
168, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.899295, 
178, 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.894512, 
188, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.898369, 
198, 118, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.935538, 
208, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.813505, 
218, 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.859456, 
228, 118, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.904679, 
18, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.936877, 
28, 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.892511, 
38, 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.913505, 
48, 128, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0.899357, 
58, 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.898926, 
68, 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.801535, 
78, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.900315, 
88, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.902673, 
98, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.939024, 
108, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.953325, 
118, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.95197, 
128, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.876667, 
138, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.889677, 
148, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.946971, 
158, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.960899, 
168, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.911524, 
178, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.888491, 
188, 128, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.882093, 
198, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.881608, 
208, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.976837, 
218, 128, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.981682, 
228, 128, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.81529, 
18, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.825556, 
28, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.81876, 
38, 138, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.893605, 
48, 138, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0.92538, 
58, 138, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.989795, 
68, 138, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.997636, 
78, 138, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.737494, 
88, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.77998, 
98, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.864786, 
