id,Year,cases
AT,1965,65
AU,1965,83.5
AW,1965,50.7
AZ,1965,48.8
BA,1965,22.8
BB,1965,37.1
BD,1965,6.2
BE,1965,93.1
BF,1965,5.2
BG,1965,45.8
BH,1965,82.5
BI,1965,2.2
BJ,1965,12.5
BM,1965,100
BN,1965,52.6
BO,1965,38.3
BR,1965,50.3
BS,1965,63.3
BT,1965,4.7
BW,1965,3.8
BY,1965,38.1
BZ,1965,52.5
CA,1965,72.9
CD,1965,26.1
CF,1965,23.5
CG,1965,35.3
CH,1965,54.2
CI,1965,24.5
CL,1965,71.7
CM,1965,16.9
CN,1965,17.6
CO,1965,51
CR,1965,35.8
CU,1965,59.3
CV,1965,18.1
CY,1965,38.2
CZ,1965,62
DE,1965,72
DJ,1965,56.1
DK,1965,77
DM,1965,36.6
DO,1965,35
DZ,1965,37.6
EC,1965,36.6
EE,1965,61.3
EG,1965,40.7
ER,1965,11.4
ES,1965,61.3
ET,1965,7.6
FI,1965,43.9
FJ,1965,32.6
FM,1965,23.5
FO,1965,25.6
FR,1965,67.1
GA,1965,23.8
GB,1965,77.8
GD,1965,31.3
GE,1965,44.9
GH,1965,26.1
GL,1965,66.1
GM,1965,14.5
GN,1965,13
GQ,1965,26.5
GR,1965,47.5
GT,1965,34
GU,1965,55.5
GW,1965,14.3
GY,1965,29.2
HK,1965,86.4
HN,1965,25.7
HR,1965,35
HT,1965,17.6
HU,1965,58
ID,1965,15.8
IE,1965,48.7
IL,1965,80.9
IM,1965,56.3
IN,1965,18.8
IQ,1965,50.7
IR,1965,37.1
IS,1965,82.7
IT,1965,61.8
JM,1965,37.5
JO,1965,54.3
JP,1965,47.4
KE,1965,8.6
KG,1965,35.9
KH,1965,10.8
KI,1965,19.6
KM,1965,17
KN,1965,30.9
KP,1965,45.1
KR,1965,32.4
KW,1965,79.3
KY,1965,100
KZ,1965,47
LA,1965,8.3
LB,1965,50.9
LC,1965,22.7
LI,1965,19.5
LK,1965,17.6
LR,1965,22.1
LS,1965,6.3
LT,1965,44.5
LU,1965,72
LV,1965,56.8
LY,1965,33.7
MA,1965,31.9
MC,1965,100
MD,1965,27.6
ME,1965,22.6
MG,1965,12.4
MH,1965,42.7
MK,1965,40.4
ML,1965,12.6
MM,1965,21
MN,1965,42.1
MO,1965,96.2
MP,1965,58.8
MR,1965,10.1
MT,1965,89.8
MU,1965,37
MV,1965,11.5
MW,1965,4.9
MX,1965,54.9
MY,1965,29.9
MZ,1965,4.6
NA,1965,20
NC,1965,44.6
NE,1965,6.8
NG,1965,20.1
NI,1965,42.7
NL,1965,60.8
NO,1965,57.6
NP,1965,3.7
NZ,1965,78.9
OM,1965,22.3
PA,1965,44.4
PE,1965,51.9
PF,1965,48.2
PG,1965,5.5
PH,1965,31.6
PK,1965,23.5
PL,1965,50.1
PR,1965,51.5
PT,1965,36.9
PW,1965,58.3
PY,1965,36.2
QA,1965,87.2
RO,1965,37.7
RS,1965,-1
RU,1965,58.4
RW,1965,2.8
SA,1965,38.8
SB,1965,7.2
SC,1965,33.1
SD,1965,13.4
SE,1965,77.1
SG,1965,100
SI,1965,32.5
SK,1965,37
SL,1965,20.2
SM,1965,54.4
SN,1965,26.4
SO,1965,20
SR,1965,47.1
ST,1965,21.8
SV,1965,38.9
SY,1965,40
SZ,1965,6.5
TD,1965,8.4
TG,1965,15
TH,1965,20.2
TJ,1965,35.2
TL,1965,11.4
TM,1965,47.1
TN,1965,39.7
TO,1965,19.5
TR,1965,34.2
TT,1965,14.3
TZ,1965,6
UA,1965,50.6
UG,1965,5.5
US,1965,71.9
UY,1965,81.3
UZ,1965,35.3
VC,1965,19.8
VE,1965,67
VI,1965,63.3
VN,1965,16.4
VU,1965,11.3
WS,1965,19.3
YE,1965,11
ZA,1965,47.2
ZM,1965,23.4
ZW,1965,14.6
AD,1966,72.36
AE,1966,76.1
AF,1966,9.72
AG,1966,36.04
AL,1966,31.3
AM,1966,56.46
AN,1966,73.5
AO,1966,13
AR,1966,76.9
AS,1966,68.72
AT,1966,65.06
AU,1966,83.86
AW,1966,50.68
AZ,1966,49.04
BA,1966,23.68
BB,1966,37.18
BD,1966,6.48
BE,1966,93.24
BF,1966,5.3
BG,1966,47.1
BH,1966,82.76
BI,1966,2.24
BJ,1966,13.34
BM,1966,100
BN,1966,54.42
BO,1966,38.6
BR,1966,51.4
BS,1966,63.98
BT,1966,4.98
BW,1966,4.6
BY,1966,39.28
BZ,1966,52.2
CA,1966,73.46
CD,1966,26.94
CF,1966,24.26
CG,1966,36.06
CH,1966,54.84
CI,1966,25.24
CL,1966,72.4
CM,1966,17.58
CN,1966,17.56
CO,1966,51.76
CR,1966,36.4
CU,1966,59.5
CV,1966,18.4
CY,1966,38.72
CZ,1966,62.48
DE,1966,72.06
DJ,1966,57.24
DK,1966,77.54
DM,1966,38.66
DO,1966,36.04
DZ,1966,37.98
EC,1966,37.14
EE,1966,62.02
EG,1966,41
ER,1966,11.64
ES,1966,62.24
ET,1966,7.8
FI,1966,45.18
FJ,1966,33.04
FM,1966,23.76
FO,1966,26.08
FR,1966,67.9
GA,1966,25.44
GB,1966,77.66
GD,1966,31.48
GE,1966,45.42
GH,1966,26.68
GL,1966,67.42
GM,1966,15.5
GN,1966,13.6
GQ,1966,26.6
GR,1966,48.5
GT,1966,34.3
GU,1966,56.78
GW,1966,14.46
GY,1966,29.24
HK,1966,86.66
HN,1966,26.34
HR,1966,36.04
HT,1966,18.04
HU,1966,58.42
ID,1966,16.06
IE,1966,49.3
IL,1966,81.56
IM,1966,56.2
IN,1966,19
IQ,1966,51.8
IR,1966,37.92
IS,1966,83.14
IT,1966,62.3
JM,1966,38.28
JO,1966,54.64
JP,1966,48.56
KE,1966,8.94
KG,1966,36.22
KH,1966,11.84
KI,1966,20.5
KM,1966,17.48
KN,1966,31.54
KP,1966,46.92
KR,1966,34.06
KW,1966,80.58
KY,1966,100
KZ,1966,47.64
LA,1966,8.56
LB,1966,52.62
LC,1966,22.94
LI,1966,19.3
LK,1966,17.98
LR,1966,22.88
LS,1966,6.76
LT,1966,45.52
LU,1966,72.48
LV,1966,57.58
LY,1966,36.9
MA,1966,32.42
MC,1966,100
MD,1966,28.5
ME,1966,23.46
MG,1966,12.74
MH,1966,44.86
MK,1966,41.74
ML,1966,12.94
MM,1966,21.36
MN,1966,42.7
MO,1966,96.36
MP,1966,61.06
MR,1966,11
MT,1966,89.78
MU,1966,38
MV,1966,11.58
MW,1966,5.14
MX,1966,55.72
MY,1966,30.62
MZ,1966,4.84
NA,1966,20.46
NC,1966,45.92
NE,1966,7.2
NG,1966,20.62
NI,1966,43.56
NL,1966,60.98
NO,1966,59.16
NP,1966,3.76
NZ,1966,79.34
OM,1966,23.78
PA,1966,45.04
PE,1966,53
PF,1966,49.62
PG,1966,6.36
PH,1966,31.88
PK,1966,23.76
PL,1966,50.5
PR,1966,52.86
PT,1966,37.28
PW,1966,58.58
PY,1966,36.38
QA,1966,87.44
RO,1966,38.22
RS,1966,-1
RU,1966,59.22
RW,1966,2.88
SA,1966,40.78
SB,1966,7.54
SC,1966,34.3
